year,value,covariate,covariate_type,source,gage_id
2003,460.47682119205314,mean_jan_may_flow,flow,NA,NA
2004,793.894736842105,mean_jan_may_flow,flow,NA,NA
2005,3491.6887417218554,mean_jan_may_flow,flow,NA,NA
2006,5769.139072847683,mean_jan_may_flow,flow,NA,NA
2007,543.3708609271522,mean_jan_may_flow,flow,NA,NA
2008,535.013157894737,mean_jan_may_flow,flow,NA,NA
2009,402.55629139072823,mean_jan_may_flow,flow,NA,NA
2010,1017.6887417218551,mean_jan_may_flow,flow,NA,NA
2011,4950.662251655628,mean_jan_may_flow,flow,NA,NA
2012,531.736842105263,mean_jan_may_flow,flow,NA,NA
2013,310.10596026490083,mean_jan_may_flow,flow,NA,NA
2014,243.60927152317876,mean_jan_may_flow,flow,NA,NA
2015,227.96688741721857,mean_jan_may_flow,flow,NA,NA
2016,442.42105263157885,mean_jan_may_flow,flow,NA,NA
2017,9128.993377483443,mean_jan_may_flow,flow,NA,NA
2018,1434.4966887417208,mean_jan_may_flow,flow,NA,NA
2019,3867.675496688742,mean_jan_may_flow,flow,NA,NA
2020,454.98684210526307,mean_jan_may_flow,flow,NA,NA
2021,258.42384105960264,mean_jan_may_flow,flow,NA,NA
2022,228.43046357615887,mean_jan_may_flow,flow,NA,NA
2023,7058.450331125833,mean_jan_may_flow,flow,NA,NA
2024,2554.6578947368434,mean_jan_may_flow,flow,NA,NA
1951,1264.218045112782,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1952,1834.5064935064936,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1953,357.9220779220779,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1954,1101.7532467532467,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1955,397.2597402597402,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1956,1747.3961038961038,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1957,486.8961038961039,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1958,1976.2857142857144,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1959,491.80519480519484,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1960,243.66883116883116,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1961,75.14935064935065,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1962,615.025974025974,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1963,1914.4675324675325,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1964,309.6623376623377,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1965,1263.7662337662337,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1966,353.0844155844156,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1967,1825.0064935064934,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1968,570.012987012987,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1969,2844.8571428571427,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1970,795.5779220779222,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1971,488.2987012987013,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1972,186.44155844155844,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1973,765.2337662337662,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1974,726.3961038961039,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1975,1034.1298701298701,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1976,244.21428571428575,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1977,35.63636363636364,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1978,1094.7597402597403,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1979,1857.935064935065,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1980,1158.9285714285716,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1981,880.2012987012987,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1982,1461.564935064935,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1983,1379.090909090909,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1984,626.2012987012987,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1985,516.538961038961,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1986,762.3636363636364,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1987,374.2922077922078,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1988,105.51948051948052,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1989,133.9805194805195,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1990,62.435064935064936,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1991,220.85064935064935,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1992,223.74675324675323,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1993,419.7792207792208,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1994,176.35714285714286,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1995,1568.3506493506493,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1996,2145.253246753247,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1997,2818.188311688312,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1998,1487.2727272727273,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
1999,1043.3636363636363,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2000,1109.077922077922,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2001,556.6103896103896,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2002,151.42207792207793,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2003,143.90909090909093,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2004,411.04545454545456,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2005,872.7272727272727,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2006,972.5324675324675,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2007,174.51298701298703,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2008,308.90909090909093,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2009,142.41558441558442,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2010,412.52597402597405,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2011,1097.8701298701299,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2012,248.18181818181816,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2013,125.02597402597402,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2014,83.82467532467533,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2015,122.81818181818181,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2016,690.7012987012987,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2017,1392.1948051948052,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2018,691.1493506493506,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2019,788.1493506493507,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2020,252.22727272727272,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2021,187.5064935064935,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2022,205.98701298701297,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2023,951.6168831168832,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
2024,802.3233082706766,mean_7_day_running_flow_differential_jan_may,flow,USGS,11290000
