"","Regions","seasonyear","Date","Month","Year","Biomass","Grazing_rate","Filtration_rate","Chlorophyll","DissAmmonia","TotAmmonia","Secchi","TotPhos","DissNitrateNitrite","Temperature","TurbidityNTU","Conductivity","SAC","OUT","Index","season","SACmax_mo","OUTmax_mo","SAC_mean_var_m","OUT_mean_var_m","SAC_max_var_m","OUT_max_var_m","SACmax_s","OUTmax_s","SAC_mean_var_s","OUT_mean_var_s","SAC_max_var_s","OUT_max_var_s","SACmax_sm","OUTmax_sm","SAC_max_var_sm","OUT_max_var_sm","lagDissAmmonia","lagSecchi","lagTotPhos","lagDissNitrateNitrite","lagTemperature","lagTurbidityNTU","lagConductivity","lagSAC","lagOUT","lagSACmax_s","lagOUTmax_s","lagSAC_mean_var_s","lagOUT_mean_var_s","lagSAC_max_var_s","lagOUT_max_var_s","lagSACmax_sm","lagOUTmax_sm","lagSAC_max_var_sm","lagOUT_max_var_sm"
"23","Central","Autumn1976",1976-10-01,10,1976,NA,NA,NA,8.17,NA,0.02,63.5,0.211666666666667,0.596666666666667,20.2416666666667,16.8416666666667,543.416666666667,8102.90322580645,3611.48387096774,3.11,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2083333333333,0.190277777777778,0.334444444444444,23.2388888888889,17.6313888888889,531.009259259259,12645.2688172043,4054.07491039427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Central","Autumn1977",1977-11-01,11,1977,NA,NA,NA,4.73333333333333,NA,0.0983333333333333,64.5833333333333,0.166666666666667,0.75,14.6333333333333,22.05,1274.16666666667,6687.33333333333,4003.43333333333,8.65,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.9873737373737,0.161666666666667,0.33,23.9461742424242,12.3663888888889,1184.23737373737,7591.05376344086,2716.35770609319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Central","Autumn1977",1977-10-01,10,1977,1.90419432406601,0.195836043637942,0.203748792675063,7.615,NA,0.0625,55.45,0.154166666666667,0.3425,19.85,20.6583333333333,1346.45,4494.1935483871,2045.90322580645,8.65,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.9873737373737,0.161666666666667,0.33,23.9461742424242,12.3663888888889,1184.23737373737,7591.05376344086,2716.35770609319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Central","Autumn1977",1977-12-01,12,1977,NA,NA,NA,2.37,NA,0.123333333333333,65.3636363636364,0.195,1.14166666666667,11.5454545454545,16.55,1351.27272727273,11745.4838709677,8569.87096774194,8.65,"Autumn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.9873737373737,0.161666666666667,0.33,23.9461742424242,12.3663888888889,1184.23737373737,7591.05376344086,2716.35770609319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Central","Autumn1978",1978-12-01,12,1978,NA,NA,NA,7.21333333333333,NA,0.125,47.8571428571429,0.158333333333333,0.533333333333333,9.31428571428571,12.1666666666667,270.142857142857,13203.2258064516,8779.70967741935,6.67,"Autumn",13900,11303,522.58064516129,2862.16129032258,1100,5385,16100,22300,997.826086956522,4108.6847826087,4100,15704,13203.2258064516,10928.0666666667,1496.66666666667,6633.73333333333,NA,39.0257575757576,NA,0.308611111111111,23.7553787878788,19.0455555555556,420.111111111111,16067.0250896057,7128.50501792116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Central","Autumn1978",1978-11-01,11,1978,NA,NA,NA,4.86,NA,0.108,53.5714285714286,0.133333333333333,0.42,11.1428571428571,19.3666666666667,233,12443.3333333333,10928.0666666667,6.67,"Autumn",16100,22300,1496.66666666667,6633.73333333333,4100,15704,16100,22300,997.826086956522,4108.6847826087,4100,15704,13203.2258064516,10928.0666666667,1496.66666666667,6633.73333333333,NA,39.0257575757576,NA,0.308611111111111,23.7553787878788,19.0455555555556,420.111111111111,16067.0250896057,7128.50501792116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Central","Autumn1978",1978-10-01,10,1978,NA,NA,NA,7.2975,NA,0.097,50.3,NA,0.363333333333333,20.05,12.6516666666667,296.818181818182,12487.0967741935,9599.96774193548,6.67,"Autumn",15700,16533,990.322580645161,2911.61290322581,2200,6800,16100,22300,997.826086956522,4108.6847826087,4100,15704,13203.2258064516,10928.0666666667,1496.66666666667,6633.73333333333,NA,39.0257575757576,NA,0.308611111111111,23.7553787878788,19.0455555555556,420.111111111111,16067.0250896057,7128.50501792116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Central","Autumn1979",1979-11-01,11,1979,NA,NA,NA,3.555,0.0866666666666667,NA,62.3333333333333,0.143333333333333,0.563333333333333,12.5,11.2833333333333,334,15200,12172.0666666667,9.04,"Autumn",21400,20659,4316.66666666667,6758.8,8500,11060,45500,57821,5050,8448.4347826087,29600,45395,20319.3548387097,19028.5483870968,7841.93548387097,13774,0.0375,39.4848484848485,0.14,0.262777777777778,23.8539393939394,17.3027777777778,599.388888888889,15552.329749104,4530.9,17800,12100,1194.5652173913,2347.83695652174,3100,8181,16412.9032258065,5264.41935483871,1370.96774193548,3378.41935483871
"31","Central","Autumn1979",1979-12-01,12,1979,NA,NA,NA,3.915,0.0783333333333333,NA,51.5,0.161666666666667,0.455,11.1666666666667,12.1166666666667,318.333333333333,20319.3548387097,19028.5483870968,9.04,"Autumn",45500,57821,7841.93548387097,13774,29600,45395,45500,57821,5050,8448.4347826087,29600,45395,20319.3548387097,19028.5483870968,7841.93548387097,13774,0.0375,39.4848484848485,0.14,0.262777777777778,23.8539393939394,17.3027777777778,599.388888888889,15552.329749104,4530.9,17800,12100,1194.5652173913,2347.83695652174,3100,8181,16412.9032258065,5264.41935483871,1370.96774193548,3378.41935483871
"32","Central","Autumn1979",1979-10-01,10,1979,NA,NA,NA,5.12416666666667,0.0525,NA,52.5,NA,0.385833333333333,18.8333333333333,11.3333333333333,430.166666666667,12577.4193548387,7798.64516129032,9.04,"Autumn",18300,15858,2967.74193548387,4758,7800,10079,45500,57821,5050,8448.4347826087,29600,45395,20319.3548387097,19028.5483870968,7841.93548387097,13774,0.0375,39.4848484848485,0.14,0.262777777777778,23.8539393939394,17.3027777777778,599.388888888889,15552.329749104,4530.9,17800,12100,1194.5652173913,2347.83695652174,3100,8181,16412.9032258065,5264.41935483871,1370.96774193548,3378.41935483871
"33","Central","Autumn1980",1980-11-01,11,1980,4.48613217005238,0.224723589209338,0.246737269352881,8.13,0.052,NA,56.6,0.136,0.442,14.53,30.125,310.7,10871.6666666667,6661.8,6.21,"Autumn",11600,8038,953.333333333333,2030.8,4400,9854,29900,30213,2737.28260869565,4781.21739130435,18500,23164,16687.0967741935,12486.8064516129,5841.93548387097,9204.16129032258,0.0453333333333333,43.7310606060606,NA,0.294305555555556,23.2559006734007,18.1166666666667,322.215909090909,16176.2007168459,8329.96774193548,19200,17664,1591.30434782609,3003.55434782609,3700,10089,17725.8064516129,11065.2258064516,1838.70967741935,4329.2
"34","Central","Autumn1980",1980-10-01,10,1980,3.61558757185771,0.275202992750032,0.310940531179763,NA,0.055,NA,55.9545454545455,NA,0.329166666666667,17.5272727272727,26.81,283.045454545455,11343.5483870968,7320.83870967742,6.21,"Autumn",14300,10262,1359.03225806452,3019.96774193548,3140,6125,29900,30213,2737.28260869565,4781.21739130435,18500,23164,16687.0967741935,12486.8064516129,5841.93548387097,9204.16129032258,0.0453333333333333,43.7310606060606,NA,0.294305555555556,23.2559006734007,18.1166666666667,322.215909090909,16176.2007168459,8329.96774193548,19200,17664,1591.30434782609,3003.55434782609,3700,10089,17725.8064516129,11065.2258064516,1838.70967741935,4329.2
"35","Central","Autumn1980",1980-12-01,12,1980,0.561428197120225,0.0157434877256134,0.017404274110727,4.746,0.16,NA,63.1,0.17,0.572,9.53,16.84,351.7,16687.0967741935,12486.8064516129,6.21,"Autumn",29900,30213,5841.93548387097,9204.16129032258,18500,23164,29900,30213,2737.28260869565,4781.21739130435,18500,23164,16687.0967741935,12486.8064516129,5841.93548387097,9204.16129032258,0.0453333333333333,43.7310606060606,NA,0.294305555555556,23.2559006734007,18.1166666666667,322.215909090909,16176.2007168459,8329.96774193548,19200,17664,1591.30434782609,3003.55434782609,3700,10089,17725.8064516129,11065.2258064516,1838.70967741935,4329.2
"36","Central","Autumn1981",1981-12-01,12,1981,4.19766728024756,0.129487174609258,0.146918354808665,1.734,0.223333333333333,NA,52.1428571428571,0.183333333333333,0.921666666666667,11.1,23.6333333333333,362.571428571429,62058.064516129,86287.3870967742,12.76,"Autumn",98300,217288,21167.7419354839,62386.5161290323,56500,178985,98300,217288,13076.7391304348,31628.3695652174,56500,178985,62058.064516129,86287.3870967742,21167.7419354839,62386.5161290323,0.0338333333333333,51.4861111111111,0.15,0.2355,23.3126388888889,19.5647222222222,560.336111111111,14319.3906810036,4383.26738351255,18200,6305,1460.4347826087,1644.78260869565,5500,3385,15303.2258064516,5305.74193548387,1883.87096774194,1839.77419354839
"37","Central","Autumn1981",1981-11-01,11,1981,65.8046550993127,3.38126849422309,4.01408396105807,3.96666666666667,0.256666666666667,NA,71.5454545454545,0.171666666666667,0.806666666666667,15.6727272727273,19.5166666666667,598.363636363636,32939.3333333333,36000.6,12.76,"Autumn",77900,109046,16305.3333333333,27728.4666666667,36100,72295,98300,217288,13076.7391304348,31628.3695652174,56500,178985,62058.064516129,86287.3870967742,21167.7419354839,62386.5161290323,0.0338333333333333,51.4861111111111,0.15,0.2355,23.3126388888889,19.5647222222222,560.336111111111,14319.3906810036,4383.26738351255,18200,6305,1460.4347826087,1644.78260869565,5500,3385,15303.2258064516,5305.74193548387,1883.87096774194,1839.77419354839
"38","Central","Autumn1981",1981-10-01,10,1981,5.26914535504024,0.406770880171381,0.453146500533461,5.27916666666667,0.054,NA,64.05,NA,0.445,18.4777777777778,19.2916666666667,831,9895.16129032258,5213.77419354839,12.76,"Autumn",12700,15359,1861.29032258065,4644.32258064516,4500,13150,98300,217288,13076.7391304348,31628.3695652174,56500,178985,62058.064516129,86287.3870967742,21167.7419354839,62386.5161290323,0.0338333333333333,51.4861111111111,0.15,0.2355,23.3126388888889,19.5647222222222,560.336111111111,14319.3906810036,4383.26738351255,18200,6305,1460.4347826087,1644.78260869565,5500,3385,15303.2258064516,5305.74193548387,1883.87096774194,1839.77419354839
"39","Central","Autumn1982",1982-11-01,11,1982,14.3608456061807,0.832750970672962,0.990898346826466,3.4,0.0533333333333333,NA,52.5,0.105,0.315,12.775,23.2166666666667,234.083333333333,31523.3333333333,39152.3333333333,15.29,"Autumn",50800,92380,11190,21930.3333333333,29100,53216,96200,200389,13823.9130434783,30268.7282608696,62500,154591,57706.4516129032,88908,26680.6451612903,61416.1612903226,0.0497222222222222,45.2222222222222,NA,0.353888888888889,22.82,25.7333333333333,288.763888888889,21032.8673835125,18617.3100358423,26600,33452,1984.78260869565,4918.96739130435,4500,11077,24856.6666666667,25801.8333333333,2003.22580645161,6289.8
"40","Central","Autumn1982",1982-10-01,10,1982,7.34695556364836,0.566586484367454,0.631838178473759,10.6275,0.032,NA,58.1428571428571,0.12,0.296666666666667,17.6125,26.3666666666667,209.25,19229.0322580645,22975.3870967742,15.29,"Autumn",23900,33769,3516.12903225806,7190.70967741936,7900,16652,96200,200389,13823.9130434783,30268.7282608696,62500,154591,57706.4516129032,88908,26680.6451612903,61416.1612903226,0.0497222222222222,45.2222222222222,NA,0.353888888888889,22.82,25.7333333333333,288.763888888889,21032.8673835125,18617.3100358423,26600,33452,1984.78260869565,4918.96739130435,4500,11077,24856.6666666667,25801.8333333333,2003.22580645161,6289.8
"41","Central","Autumn1982",1982-12-01,12,1982,23.1260918608776,0.696699990897739,0.809413215130717,2.83166666666667,0.175,NA,44.25,0.205,0.513333333333333,10.55,16.7333333333333,231.875,57706.4516129032,88908,15.29,"Autumn",96200,200389,26680.6451612903,61416.1612903226,62500,154591,96200,200389,13823.9130434783,30268.7282608696,62500,154591,57706.4516129032,88908,26680.6451612903,61416.1612903226,0.0497222222222222,45.2222222222222,NA,0.353888888888889,22.82,25.7333333333333,288.763888888889,21032.8673835125,18617.3100358423,26600,33452,1984.78260869565,4918.96739130435,4500,11077,24856.6666666667,25801.8333333333,2003.22580645161,6289.8
"42","Central","Autumn1983",1983-10-01,10,1983,NA,NA,NA,3.15,0.0483333333333333,NA,55.3333333333333,0.1,0.34,18.4583333333333,29.74,156.333333333333,21148.3870967742,32282.6451612903,10,"Autumn",26200,37830,2625.8064516129,4093.74193548387,8000,9681,92700,356087,11859.7826086957,41905.2717391304,42300,249518,74512.9032258065,154586.870967742,20403.3333333333,89152.6129032258,0.0503333333333333,41.1203703703704,0.104444444444444,0.33,22.9149074074074,18.0922222222222,202.564814814815,26885.1254480287,33228.2856630824,40300,59504,2183.69565217391,4837.48913043478,5700,14663,31000,43759.1935483871,3022.58064516129,7229
"43","Central","Autumn1983",1983-12-01,12,1983,14.6107633203495,0.451617669879808,0.511376716212232,2.045,0.103333333333333,NA,57.8333333333333,0.118333333333333,0.605,10.5,19.355,212.166666666667,74512.9032258065,154586.870967742,10,"Autumn",92700,356087,12825.8064516129,89152.6129032258,24700,249518,92700,356087,11859.7826086957,41905.2717391304,42300,249518,74512.9032258065,154586.870967742,20403.3333333333,89152.6129032258,0.0503333333333333,41.1203703703704,0.104444444444444,0.33,22.9149074074074,18.0922222222222,202.564814814815,26885.1254480287,33228.2856630824,40300,59504,2183.69565217391,4837.48913043478,5700,14663,31000,43759.1935483871,3022.58064516129,7229
"44","Central","Autumn1983",1983-11-01,11,1983,1.60342627168239,0.107389902571549,0.115107835346143,2.77166666666667,0.0816666666666667,NA,57.125,0.103333333333333,0.531666666666667,15.1875,20.8216666666667,264.5,48820,74137.1333333333,10,"Autumn",86600,128166,20403.3333333333,32154.9333333333,42300,53755,92700,356087,11859.7826086957,41905.2717391304,42300,249518,74512.9032258065,154586.870967742,20403.3333333333,89152.6129032258,0.0503333333333333,41.1203703703704,0.104444444444444,0.33,22.9149074074074,18.0922222222222,202.564814814815,26885.1254480287,33228.2856630824,40300,59504,2183.69565217391,4837.48913043478,5700,14663,31000,43759.1935483871,3022.58064516129,7229
"45","Central","Autumn1984",1984-12-01,12,1984,23.6617764665653,0.601271274171806,0.733515070463525,1.98166666666667,0.196666666666667,NA,55,0.181666666666667,0.801666666666667,10.6666666666667,29.0166666666667,275,32558.064516129,31066.3225806452,6.47,"Autumn",40500,42164,4932.25806451613,7188.58064516129,8200,13897,41200,45233,4311.95652173913,7933.60869565217,18700,21739,32558.064516129,31066.3225806452,6673.33333333333,10602.4333333333,0.0477222222222222,56.5643939393939,NA,0.316777777777778,24.9566666666667,16.0838888888889,314.319444444444,19369.8207885304,10630.7551971326,23100,17171,1644.5652173913,2483.70652173913,5200,5847,21632.2580645161,13586.2333333333,1990,3491.46666666667
"46","Central","Autumn1984",1984-11-01,11,1984,58.4320242224062,1.4276314306937,2.04512084778422,7.532,0.23,NA,50.8,0.182,0.77,12,32.12,302.4,26280,25952.7333333333,6.47,"Autumn",41200,45233,6673.33333333333,10602.4333333333,18700,21739,41200,45233,4311.95652173913,7933.60869565217,18700,21739,32558.064516129,31066.3225806452,6673.33333333333,10602.4333333333,0.0477222222222222,56.5643939393939,NA,0.316777777777778,24.9566666666667,16.0838888888889,314.319444444444,19369.8207885304,10630.7551971326,23100,17171,1644.5652173913,2483.70652173913,5200,5847,21632.2580645161,13586.2333333333,1990,3491.46666666667
"47","Central","Autumn1984",1984-10-01,10,1984,0.924167263129424,0.0540267471191507,0.0563742030508949,20.746,0.045,NA,58.5,0.132,0.424,17.2,14.02,234.2,13235.4838709677,11899.3225806452,6.47,"Autumn",15800,20128,1406.45161290323,6095.90322580645,2100,12002,41200,45233,4311.95652173913,7933.60869565217,18700,21739,32558.064516129,31066.3225806452,6673.33333333333,10602.4333333333,0.0477222222222222,56.5643939393939,NA,0.316777777777778,24.9566666666667,16.0838888888889,314.319444444444,19369.8207885304,10630.7551971326,23100,17171,1644.5652173913,2483.70652173913,5200,5847,21632.2580645161,13586.2333333333,1990,3491.46666666667
"48","Central","Autumn1985",1985-11-01,11,1985,NA,NA,NA,6.02,0.046,NA,95.5,0.132,0.242,11,15.0333333333333,898.5,10417.6666666667,6889.7,9.96,"Autumn",18700,18847,3343,7402.26666666667,14500,19832,30400,32564,3299.67391304348,6919.47826086957,15900,25016,16106.4516129032,9430.16129032258,5016.12903225806,9003.32258064516,0.0391666666666667,64.5694444444444,0.11,0.401611111111111,23.1130555555556,14.6416666666667,559.208333333333,13891.9569892473,3419.49032258064,17600,6408,1759.34782608696,1886.55434782609,4100,5497,16035.4838709677,4835.38709677419,2142,2374.36666666667
